title,content,media,keyword,date
国会に「マイボトル」を　自民が提案　環境負荷低減へ利用促す,"
　国会に「マイボトル」を－。自民党は９日の参院議院運営委員会理事会で、委員会室へのマイボトルの持ち込みを提案した。ペットボトルなどのごみを出さず、環境負荷が少ないとされるマイボトルの利用促進につなげたい考えだ。

　参院の各委員会では氷水やコーヒーなどが提供されている。飲み物持ち込みに関する衆参両院の規則はないが、各委員会で許可を得るのが慣例になっている。安倍晋三首相は予算委員会にマイボトルを持ち込んでいる。

　小泉進次郎環境相は１１月２９日のシンポジウムで、同１２日の衆院環境委員会に許可を得ずマイボトル入りのコーヒーを持参して「怒られた」と明かしていた。

　健康管理を理由とする場合は白湯（さゆ）の持ち込みを認めているが、自民党は中身を白湯に限定せず「自由度を持たせる」ことを提案。議運委理事会では自民案を各会派が持ち帰り、引き続き協議していくとした。",産経新聞,コーヒー,2019年 12月 9日
やる気がない人ほど「まず手を動かすべき」理由,"
やる気がなかなか出ない人ほど、まず手を動かしたほうがいい理由とは？　　脳科学者の中野信子さんが解説します。
前回は集中状態に入りやすい環境をつくる方法をお伝えしてきました。でも、いざ集中状態に入れたとしても、その集中はいつかは切れるもの。そしてひとたび集中が切れると、再び集中状態に戻るのがとても難しかったりします。

　例えば、仕事の資料づくりに没頭し、キリのいいところまで終わったので、いったん休憩することに。ところが、お茶を飲んだり人と話したりSNSをチェックしているうちに、作業に戻るのがだんだんおっくうになってくる。",東洋経済オンライン,コーヒー,2019年 12月 9日
「ホテルJALシティ東京 豊洲」、12月9日開業,"
　12月9日、「ホテルJALシティ東京 豊洲」が開業した。所在地は東京都江東区豊洲6-4-20。【この記事に関する別の画像を見る】　同ホテルは、豊洲市場に近接した複合施設「Dタワー豊洲」の6～17階に位置する。1階にはレストラン「汐待茶寮」を、2～3階には都市型低酸素環境下トレーニング施設「ASICS Sports Complex TOKYO BAY（アシックス スポーツコンプレックス 東京ベイ）」などを備える。

　客室は全330室。モデレート、スーペリア、デラックスの3タイプを用意する。広さ21～38m2のゆったりした作りとなっており、自然素材をあしらいながら日本の美を感じられる「重ね合わせ」のデザインを取り入れた。また、客室内には4Kテレビのビデオオンデマンドやコーヒーマシンも設置する。16～17階の「PLUS」フロアの客室からは都心のパノラマビューが堪能でき、日中の開放的な景色から東京ベイエリアの夜景まで、時間によって移り変わる眺望を楽しめる。

　開業記念プランとして、2020年3月31日までの予約（2019年12月9日～2020年3月31日チェックインまで）で、ベスト アベイラブル レートから20％オフの料金での宿泊が可能。料金はモデレートツイン（1室2名）1万1360円～（税込）、モデレートツインプラス（1室2名）1万4560円～（税込）となっている。One Harmony会員限定の特典も用意する。",Impress Watch,コーヒー,2019年 12月 9日
働き方改革も後押し！今の日本にペーパーレス化が必要なワケ,"
帳簿や記録など、これまで紙で保存しておいた情報をデータ化する「ペーパーレス化」。ペーパーレス化が進む海外諸国と比べ、日本は遅れを取ってしまっているといえます。対して、自社は先駆けてペーパーレス化に取り組めていると思っていたら、間違った方法を行ってしまっているケースも。本記事では、ペーパーレス化普及に取り組む横山公一氏が、日本におけるペーパーレス化の現状を解説します。",幻冬舎ゴールドオンライン,コーヒー,2019年 12月 9日
“食べられる”コーヒーカップが登場　一部空港ラウンジと航空機内サービスで,"
　ニュージーランド航空は、一部機内と空港ラウンジで“食べられる”コーヒーカップの提供を試験的に開始したと発表した。【画像】食べられるコーヒーカップ　広報担当者によると、このコーヒーカップの素材は小麦、砂糖、卵、バニラエッセンスだという。パリパリとした食感が特徴で、コーヒーを注いでから最大8時間利用できる。このカップは、ニュージーランドとオーストラリアを結ぶ一部の路線と、特定の空港内のラウンジで提供されている。つまり、一般的なコーヒーカップとして使う分には問題ない。

　ニュージーランド航空は、1年当たり800万杯以上のコーヒーを提供しており、現在は、土に還る素材で作られているカップを利用している。食べられるコーヒーカップを試験的に導入することで、環境面での配慮をさらに促進する。同社によると「バニラ味で液体が漏れないよう作られたカップは、お試しいただいたお客さまから大好評で、デザートボウルとしても使っています 」という。

　ニュージーランド航空は1940年に設立された国際航空会社で、日本からニュージーランドへの直行便を運航している。",ITmedia ビジネスオンライン,コーヒー,2019年 12月 9日
北品川駅近くにコーヒースタンド「ノグコーヒーロースターズ」　無添加にこだわり,"
　コーヒースタンド「NOG COFFEE ROASTERS（ノグコーヒーロースターズ）」（品川区東品川1、TEL 050-6862-7277）が北品川駅近くにオープンして3カ月がたった。（品川経済新聞）「カフェラテ」と「あんバターワッフルサンド」　同店は、建築設計事業を手掛けるワークヴィジョンズのワークスペースに併設。商品はワークスペースのほか、入り口に設置したテーブル4席と4人掛けベンチで飲食可。

　代表の野口航太さんは、オーストラリアのメルボルンなどで約6年間バリスタとして修業。「普通のコーヒー再定義革命」を掲げ、バリスタや愛好家が楽しむ高品質のコーヒーを、誰もが気軽に飲める世の中を目指すという。

　「From Seed to Cup」の理念の下、豆（種子）からカップに注がれるまで、コーヒーの品質を管理する。豆はスペシャルティコーヒー豆から厳選し、武蔵小山にある焙煎（ばいせん）所で自家焙煎。コーヒー豆が持つ個性を引き出すために、バリスタが全てのカップを抽出する。

　コーヒーメニューは、浅いりから深いりまで7種類から選べる「ハンドドリップ」（550円）やレシピを調整してマシンの抽出の質を高めた「普通のコーヒー」（350円）、「カフェラテ」（450円）、「カフェモカ」（500円）などを用意。100グラムからコーヒー豆も販売する。

　そのほか、「バリスタの美味（おい）しいミルク」や「フルーツジュース」（以上400円）や「チョコラテ」（500円）、「エスプレッソバナナシェイク」（650円）などのドリンクメニューも。

　料理は無添加にこだわる。メニューは、やわらかくほぐした鶏肉とマリネキャベツを厚めのパンで挟んだ「パニーニ」（400円～）や自家製ワッフルにあんことバターを合わせた「あんバターワッフルサンド」（450円）、グルテンフリーでビーガン対応の「バナナブレット」（300円）など。客単価は600円。

　「地域の変化に寄り添い、人々の日常に溶け込むような店作りを進めていく」と野口さん。「気さくでおしゃべり好きなバリスタが店で待っている。おいしいコーヒーと一緒に、バリスタとの会話も楽しんでもらえたら」とほほ笑む。

　営業時間は10時～18時。日曜・祝日定休。",みんなの経済新聞ネットワーク,コーヒー,2019年 12月 9日
「日本の食は最高」はもう古い？　いま世界中で“食の統一化”が進む理由,"
 日本の食事は世界でもっとも美味しいといわれてきましたが、近年、その常識は、大きく変わりつつあります。グローバル化の進展で世界における「味」の統一化が進み、どこの国に行っても、お店を選べば同じレベルの食事にありつける時代となっています。あなたの作る「オウチごはん」が、ビジネスになる日。 昭和の時代までは、国によって食事の水準は大きく違っていました。「食」に関する話題は本人の味覚という主観が入りますから、客観的な議論が難しいのですが、それでも30年前の米国は、お世辞にも食事が美味しいといえる国ではありませんでした。

当時の米国では、大都市の洗練されたお店でもない限り、ディナーといえば、大味のステーキに、山盛りで食べ切れない量のサラダが出てくるというパターンでしたが、今では、多くの店が、量を抑えたフュージョン・スタイルの料理を出すようになっています。

これは万国共通の現象となっており、アジアや欧州においても状況は同じです。

今、アジア各国は、美味しいコーヒーを出すおしゃれなカフェが乱立する状況となっていますが、30年前のアジア各国にこうしたお店はほとんどなく、街中でちょっと時間をつぶす手段すらありませんでした。現地の人が集う店はあるのですが、仕事で訪れている時には、こうしたお店には入りづらいものです。

筆者は欧州の現地事情にはあまり詳しくありませんが、知人のシェフによると、フランスでも古典的なコテコテのフレンチを出すお店は絶滅危惧種だそうですし、米国と同様、食事がマズいというイメージのあった英国も今は見違えるような状況と聞きます。

料理の味付けや出し方が世界で統一されてきたのは、間違いなくグローバル化とIT化の影響です。

アジア各国はここ20年で著しい経済成長を遂げ、中間層以上の人たちであれば、ちょっと奮発すれば先進国と同レベルのサービスを楽しめるようになってきました。LCC（格安航空会社）の普及によって、人の移動が想像を超えるレベルで活発になっており、各国は、自国にやってきた多種多様な外国人に食事を提供する必要に迫られています。",webマガジン mi-mollet,コーヒー,2019年 12月 9日
函館「ギャラリー三日月」10年の歴史に幕　14日から店内備品の処分市,"
　2009年12月より営業を続けてきたギャラリー三日月（函館市弥生町）が11月30日で閉店し、10年間の歴史に幕を下ろした。12月14日から、ギャラリー内で店内備品の処分市を行う。（函館経済新聞）処分品の一部　ギャラリーにカフェと作家の作品を扱うショップとを併せ持ち、明治時代の蔵をリノベーションしたギャラリーでは、函館・道南の作家のほか、道外・海外の作家の作品展示も積極的に開催。道南のアートシーンでのけん引役として存在感を示してきた。

　これまでに展示したアーティストは延べ100人近くに上り、コーヒーを飲みに立ち寄る地元のなじみ客のほか、展示を楽しみに遠方から訪れる客も少なくなかったが、10年間続けてきたことへの一区切りとして11月末日での閉店を決めた。

　処分市では備品が無くなり次第終了となるが、店内で使っていた箱や本などのほか、棚などの大きい品物も並ぶ予定。販売対象は個人のみで、再販業者は対象外。すでに閉店しているため、処分市では商品持ち帰り用の袋の用意が無く持参が必要。

　開店以来10年間ギャラリーの運営を続けてきた吉岡さんは「これまで店に来たことがある人で、備品を大切にしてくれる人の手元に置いてもらいたい。個人対象の処分市だが、個人で営業している店の方で、自店で受け継いでくださる方も歓迎」と来場を呼び掛けている。

　開催時間は13～16時。今月16日まで。",みんなの経済新聞ネットワーク,コーヒー,2019年 12月 9日
クイジナート、コーヒーの濃さや保温の温度を選べる14杯用のコーヒーメーカー,"
　クイジナートは、コーヒーの濃さと保温の温度を設定できる14杯用のコーヒーメーカー「14カップ ドリップ式コーヒーメーカー DCC3200SJ」を発売した。実勢価格は15,000円(税抜)。【この記事に関する別の画像を見る】　水タンク容量約2.1Lで14杯分のコーヒーを淹れられるコーヒーメーカー。コーヒーの濃度は「ストロング/ノーマル」の2段階、保温プレートの温度は「高/中/低」の3段階で設定できる。

　33個の穴からシャワーのようにお湯が出るシャワードリッパーを採用しているため、抽出ムラがなく均一な味を楽しめるという。またフィルターは、コーヒーの油分を残してドリップできるゴールドトーンフィルターを採用。油分に含まれるうまみを引き出せるとしている。市販のペーパーフィルターも使用可能。

　抽出途中にポットを取り外すと20秒間抽出を停止する「抽出ポーズ機能」を搭載。抽出が完了した分だけをすぐにカップに注げるとしている。

　このほか指定した時刻に抽出を開始する予約機能や、0～4時間のオフタイマーを備える。

　本体サイズは、約184×297×308mm(幅×奥行き×高さ)。重量は約2.8kg。電源コード長は1.5m。",Impress Watch,コーヒー,2019年 12月 9日
常連になりたい！福岡コーヒーカタログ ＜大名エリア編＞,"
■ 進化を続ける“毎日飲みたい一杯”「COFFEE STAND seed village」【写真を見る】珈琲花坂 / コクと苦味が調和する「ブレンド・ワルツ」(550円・税込)と「ガトーショコラ」(400円・税込)明治通りに面した「シード ヴィレッジ」に、今日もひっきりなしに人が吸い込まれていく。「高品質のコーヒーを日常的に楽しんでほしい」という思いを掲げ、5年前にオープンした小さなコーヒースタンドは、すっかり街の風景の一部となった。

店主の種村拓哉さんはJBCのセミファイナルに進出したこともある実力派バリスタ。豆も日本最高峰の豆を扱う「丸山珈琲」などから仕入れ好評を博してきたが、次第に自分の店だけの味を提供したいと思うように。そして最終目標を「コーヒー農園との直接取引」とし、さまざまなコーヒーやアイテムを扱う。その一つがタイコーヒー。「タイの豆は酸味が少なくスペシャルティの基準では評価されにくい豆。ただ、マイルドな味わいで日本人の味覚には向いているんです」と種村さん。

17年からは店で使う豆の全量を自家焙煎に切り替え、生まれたのが「大名二丁目ブレンド」(300円～・税込)。誰もが毎日飲めるような“究極の飲みやすさ”を目指した。「コーヒーの味は豆7割、焙煎2割、抽出1割とよくいわれます。でも僕はバリスタ出身だから、バリスタにできることがもっとあることを示したいんです」。屈託のない笑顔の奥に種村さんの信念が垣間見えた。

［COFFEE STAND seed village(コーヒー スタンド シード ヴィレッジ)］福岡県福岡市中央区大名2-4-31 / 080-1537-8701 / 8:00～18:00、水曜～21:00、土曜10:00～18:00 / 日曜・祝日休み

■ 人柄が溶け込んだネルドリップコーヒー「珈琲花坂」

大名の路地を抜け、雑居ビルの5階に上がると、喧騒を忘れ静かな喫茶が楽しめる「珈琲花坂」がある。花坂和英さんがコーヒーに目覚めたのは東京でDJなどをしていた20代の半ば。コーヒーに何者にもとらわれない自由さを感じ、独学で焙煎をはじめ、喫茶店でも働き始めた。30歳でコーヒー屋として独立するために福岡に移住。店を一から作ることも考えたが「早くコーヒーに触りたい」と考えていたころ、縁があって「バー ペトロール ブルー」に足を運び、昼間の時間を借りて喫茶として営業するいまのスタイルに。

もとは深煎りの豆を焼いていたが、ネルフィルターをもらい淹れたところ、苦すぎずすっと喉を通るあと口のよさに魅了され、それからはネル一筋となった。また、コーヒーのお供・チョコレートをしっかり感じられる「ガトーショコラ」(400円・税込)にもエピソードが。

「東京時代に好きだったケーキ店のガトーショコラを自分のコーヒーと楽しんでもらいたいと」とダメ元でレシピを聞いたところ快諾。しかも福岡まで来て直接レッスンをしてくれたそう。花坂さんには、そんな縁を呼び込むような、にじみでる人柄があるのだろう。一杯のおいしさ以上の何かがもらえる、それが「珈琲花坂」だ。

［珈琲花坂(コーヒー はなさか)］福岡県福岡市中央区大名1-10-21 5F / 092-714-6786 / 10:00～18:00(LO17:30) / 不定休

■ ホテルのような上質な空間で日常を忘れる「珈琲舎のだ 大名本店」

1966年創業と、福岡の喫茶のなかでも老舗にあたる「珈琲舎のだ」。市内にソラリア店やケーキの店など6店舗を経営するが、82年に開業した本店は別格の品位が漂う。店に入りまず目を引くのが、3本の煙突が伸びる3連の焙煎機。「お客様に、今飲んでいるコーヒーを感じてもらいたい」という思いあっての演出だ。

「のだ」が喫茶として大切にしているのが「上質な空間」と「大人のくつろぎ」。その空間のモチーフになっているのがホテルのバーだ。本店はカウンターがコの字型で、肘をかけやすいように手前にくぼみを設ける。また、椅子に背もたれがなく客が自然と姿勢よく座れる。白と黒で統一した制服はバーテンダーがモチーフで、ホテルマンのごとく無駄のない動きと柔らかな物腰に初めてでも心地よく過ごせる。「カフェと喫茶店の違いは、カフェが日常と繋がったオープンな空間なのに対し、喫茶店はクローズドな空間。入るのには少し勇気がいりますが、一度入れば次第に気分が高揚してきますよね」と野田光彦社長は語る。

コーヒーは抽出する工程を目でも楽しめるようサイフォンを選択。コーヒーを練り込んだ名物ののだロールとの相性もぴったりだ。本を片手に訪れたくなる喫茶。こんな場所を知っているだけで、街の楽しみ方は広がりそう。写真は、深みがありまろやかな「のだブレンド」(写真手前、693円・税込)と、甘さを控えた「のだロール」(写真奥、486円・税込)。

［珈琲舎のだ 大名本店］福岡県福岡市中央区大名2-10-1 シャンボール大名1F / 092-741-5357 / 9:00～19:00(LO18:30)、日曜・祝日10:00～ / 年末年始休み　

■ 思わず写真を撮りたくなる“SNS映えする”と話題のカフェ「Cafe no. FUKUOKA」

大阪の堀江と梅田に次ぐ全国3店舗目のカフェ。看板メニューの「ブロンコラテ」(600円・税込)は、3種類のベルギー産チョコレートをカフェラテにトッピングしている。フルーツのピュレと練乳やミルクなどをブレンドした「ボトルドリンク」や2回目以降は価格そのままで増量してもらえるお得な「オリジナルタンブラー」(1600円・税込、初回ドリンク料込み、写真はタピオカコーヒー)も人気！

［Cafe no. FUKUOKA(カフェ ナンバー フクオカ)］福岡県福岡市中央区大名1-1-17 美和ビル3F / 092-287-5694 / 10:30～19:00 / 無休　

■ 裏路地で見つけた！コーヒーとお酒のオイシイ関係「CITADEL」

「コーヒーの新たな楽しみ方を知ってもらいたい」と語る店主が、約40種類ものコーヒーカクテルを考案。好みのリキュールを選べる「R-20のホットカフェラテ」(850円)など、新感覚のドリンクが自慢だ。リキュールの味を生かすため、深みを抑えたコーヒー豆を使用。「水出しアイス珈琲」(550円)など通常のコーヒーやスイーツもあり、ノーチャージのためカフェとしても利用できる。「珈琲モヒート」(950円)。自家製のコーヒーラムにフレッシュミントやソーダなどを合わせる。

［CITADEL(シタデル)］福岡県福岡市中央区大名1-8-40 林毛町通りビル2F / 092-688-4190 / 17:00～翌3:00 / 月曜休み(火曜が祝日の場合火曜)

■ バーテンダー目線で生み出す一杯はここだけの味わい「Coniglio」

福岡市・井尻のダイニングバー「グーフォ」の姉妹店は、大名の路地裏に立つ穴場なカフェ＆バー。現在は19:00からのバー営業を行い、昼の営業は19年12月下旬ごろに再開予定。ホッとひと息つける空間はそのままに、コーヒー＋ケーキなど、シンプルなメニュー展開へと変わる。蒸気圧が強いエスプレッソマシン「スピリット」で淹れるコーヒーは濃厚な味わいが特徴だ。

［Coniglio(コニーリョ)］福岡県福岡市中央区大名1-2-28-104 / 092-753-7207 / カフェ11:00～19:00(LO18:45)、バー19:00～翌5:00 / 木曜休み　

■ 老舗コーヒー豆販売店が福岡に登場！「ニシナ屋珈琲 大名1-3-26niR焙煎所」

1933(昭和8)年創業の老舗コーヒー豆販売店が九州初上陸。「コーヒーは生もの」という考えのもと、注文後に焙煎する新鮮な豆を販売している。スペシャルティコーヒーをはじめとする約60種類の高品質な豆は、手ごろなものから「コピ・ルアック」や「ゲイシャ」などの高級豆まで幅広く取り扱う。

［ニシナ屋珈琲 大名1-3-26niR焙煎所(ダイミョウ1-3026ニアルバイセンジョ)］福岡県福岡市中央区大名1-3-26 / 092-718-7379 / 10:30ごろ～19:00ごろ / 無休　（九州ウォーカー・九州ウォーカー編集部）",ウォーカープラス,コーヒー,2019年 12月 9日
