title,content,media,keyword,date
Xiaomi、20日駆動スマートバンドや外から操作できるIoT炊飯器など。日本参入に強い意気込み,"
Xiaomi（シャオミ）は本日、1億800万画素の5眼カメラ搭載スマートフォン「Mi Note10」をはじめとする日本向け新製品を発表、日本市場への本格参入を表明した。本記事ではウェアラブルデバイス「Miスマートバンド4」、10,000mAhモバイルバッテリー「パワーバンク3」、IoT機器の「Mi IH炊飯器」、そしてライフスタイル商品「メタルキャリーオンスーツケース 20インチ」について紹介する。

Miスマートバンド4は、フルカラーの有機ELタッチディスプレイ（120×240ピクセル）を搭載し、1,600万色以上の表示が可能。従来モデルと比較して画面サイズは39.9%拡大しており、さらに77種類のウォッチフェイスも用意される。

質量は22.1gと超軽量を実現。バッテリー容量は135mAhで通常使用であれば最大20日間駆動できる。価格は3,490円（税抜）、Amazonにて予約受付中で、12月23日から出荷開始予定。

ランニングなど各種ワークアウトのトラッキングが可能で、6軸センサーによりトラッキング精度も向上。防水性能も備えており、新たにスイミング利用時のトラックモードも導入された。

その他、24時間の心拍モニタリングや睡眠トラッキング機能も装備。これらの情報は「Mi Fitアプリ」と連携することでデータが集積され、履歴を確認することができる。その他にも機能のカスタマイズなどが行える。本アプリはAndroid/iOSに対応しており、Xiaomi製以外のスマートフォンでも、もちろん利用可能だ。

他にもスマホと連携してメッセージの確認やアプリの通知、また音楽コントロール機能も搭載しており、音楽再生や一時停止、スキップなどの操作が行える。

「パワーバンク3」は、容量10,000mAhのリチウムポリマーバッテリーを搭載したモバイルバッテリー。USB-A出力ポートを2系統、2-in-1 USB-Cポート、マイクロUSB入力ポートを各1系統ずつ装備し、すべて18Wの急速充電をサポートする。

低電流モードを搭載しており、ボタンを2回押すことでモード切り替えが可能。これによりBluetoothヘッドセットやスマートバンドなど低電流デバイスへの充電も行える。年内発売予定とし、価格は1,980円（税抜）。

「Mi IH炊飯器」は同社IoT対応製品の第一弾として日本市場に投入するもの、もともと三洋やパナソニックで炊飯器の開発を行ってきた内藤毅氏と共同で開発したとのこと。内部に厚さ3mmのPFAコーティングを施した内釜を採用しており、焦げ付きを防止しながら、他社製品と比較し、より早く均一な加熱が可能とのこと。「厚みをもたせた内釜の採用はコスト増となるが、それだけの価値が実現できる」とアピールされた。

またWi-Fiに接続し、「Mi Homeアプリ」と連携することで外出先から操作が可能。炊飯時間の設定や炊き上がりの柔らかさなども好みに合わせて最適化できるとしている。また自動保温機能により、適正な状態で最大24時間の保温が可能とのこと。年内発売予定で、価格は9,999円（税抜）。

最後にライフスタイル製品として「メタルキャリーオンスーツケース 20インチ」が発表された。航空宇宙産業向けのアルミニウム-マグネシウム合金ボディを採用し、シンプルかつ軽量なデザインながら、高い耐久性を実現。内部のフレーム枠も強化しており、衝撃にも強いとのこと。

ロック機構はTSA認証のデュアルロックとし、安全性も確保しつつ開けやすさも兼ね備えるとしている。その他、360度スピナーキャスターや4段階調節可能ハンドルを採用するなど利便性にも配慮されている。価格は17,990円（税抜）、ボディ部分がポリカーボネート素材のモデルは7,990円（税抜）。いずれも発売日は未定で、近日同社Twitterアカウントなどを通じて発表するとした。

Xiaomiは本日、東京・台場にて説明会を開催。東アジア担当ゼネラルマネージャーのSteven Wang氏が登壇し、新製品の紹介に加えて、日本市場参入に際して、改めてブランド紹介を行った。

同社は設立9周年と若いメーカーでありながら、現在に至るまで、90カ国以上の市場に参入している。そのうち42カ国のマーケットで、上位5位に入るスマートフォンブランドとして企業力を拡大。昨年2018年には中国・香港市場に上場を果たし、スマートフォンのグローバルシェアでは世界4位のポジションにいる。

スマートフォンを筆頭に、2,000以上のIoT製品およびエコシステムの構築も手掛けているXiaomi。2億以上のデバイスに接続・対応可能な世界最大規模のユーザープラットフォームを展開し、IoTやライフスタイル製品の開発にも力を注いでいるという。Steven Wang氏は「9年と若い企業ながらこれだけの事業が展開できるのは、スタートアップ企業に投資しながら製品開発をサポートしてきたから。共同開発することで急速な事業拡大が実現できた」と説明する。

また同社の製品において重要視している点として、「イノベーション」「デザイン」「品質」「適正価格」の4つを挙げた。今回日本で展開するMi Note 10のほかにも、5G時代に向けて「Mi MIX3」「Mi MIX Alpha」といった革新的なスマートフォンを発表。これらの製品においても、先進的であることに加えて、品質とデザイン性についても重要視しているという。

デザイン面では、世界で400以上もの賞を受賞。日本においてもグッドデザイン賞受賞など高い評価を受けており、「Mi Lookという当社のデザインは、シンプルかつ、一見してXiaomiだと分かる統一性を持っている」と説明した。

さらに同社は、そういった高品質でデザインにもこだわった、先進的でイノベーティブな製品を「適正価格」で市場展開することが重要と説明。2018年からはハードウェアの純利益を5%以下にすると宣言した。これについてSteven Wang氏は、「Xiaomiの掲げる“Innovation for everyone”というフィロソフィー実現のため、求めやすい適正な価格とすることで、多くのユーザーに最新テクノロジーを体験してもらいたい」と語った。

なお、今回発表されたスマートフォン2機種の価格は、Mi Note 10が5万円台、Mi Note 10 Proが6万円台だ。スペックからすると安価な価格設定だが、SIMフリースマホとしては中級クラスに位置する。これについては「まずはXiaomiというブランド認知を広げたい。Mi Note 10はイノベーティブで次世代の製品である。どこよりも先進性のある技術を投入して製品化したことを、まず市場参入の時点で強調したかった」と説明する。なお本製品はSIMフリーで、キャリアの縛りはない。また現時点ではAmazonでの販売が中心。実店舗については「事業戦略の一端として、Mi ストアの展開はもちろん考えている」としながらも、本日時点では日本における店舗展開は未定とした。

日本については、「非常に良い市場だと思っている」とSteven Wang氏。Xiaomi Japanの設立発表に対しても多くのフィードバックがあり、特にTwitterでは12月だけで600万以上のインプレッション数を獲得したという。

また先月登場した、画面占有率180.6%を謳うスマートフォン「Mi Mix Alpha」の発表時には、日本がライブ配信の視聴数トップ10に入った。「イノベーションに着目している市場であり、日本のユーザーは新しいテクノロジーに対して関心が高く、受け入れる用意がある」との印象を語った。

そんな日本市場に、今このタイミングで参入を決定したことについて問われると、「来年2020年には5Gがスタートするなど、当社製品が活躍できる絶好のタイミングだと思う」と回答。「価値に見合った商品を投入していくことで、市場に新しい変化を起こすことができるだろう」とコメントした。

なお、IoTへの取り組みはすでに大きなプラットフォームを構築しているXiaomi。今回の発表ではIH炊飯器の発表のみにとどまったが、今後については「日本は他の市場と異なっているので、全ての製品においてカスタマイズが必要となる。将来的には様々な製品を展開していきたい」と語った。",PHILE WEB,スマホ,2019年 12月 9日
【Amazonサイバーマンデー】急げ！走るのがもっと楽しくなるランニング関連グッズもお得だよ,"
走るのがもっと楽しくなる、ランニング関連グッズもたくさんあるよ！

本日23:59まで開催の「Amazonサイバーマンデーセール」では、毎日のランニングを快適にするアイテムもお得になっています。こだわりアイテムを見つければ、習慣づけにもなるかも。",ライフハッカー［日本版］,スマホ,2019年 12月 9日
LINEペイ、銀行振り込みを開始,"
　LINE <3938> は9日、スマートフォン決済「LINEペイ」で、個人や企業の銀行口座に振り込みができるサービスを始めた。口座番号が分からない場合でも名前と、電話番号かメールアドレスが分かれば振り込みが可能。スマホ決済で他人の銀行口座へ振り込みができるサービスは初めて。　",時事通信,スマホ,2019年 12月 9日
出発進行～！スマホが車両に早変わりする「JRトレインスマホケース」,"
京葉線、湘南新宿ライン、山手線、大阪環状線…。普段何気なく目にしてるJRの電車が、かわいいスマホケース「JRトレインスマホケース」になってヴィレッジヴァンガードに登場しました。【ラインナップはこちら】細部にまで鉄道会社監修のこだわりが詰まっていますが、どれもポップなデザインなので、男女問わずで日常使いできそうです。子どもにもウケるかもしれません。

ケースは、ハードケース、TPU／アクリルケース、TPUケース、手帳型ケースの4種類で、サイズは「Мサイズ iPhone（6／7／8）」と 「Lサイズ（iPhone XR／ 11）」の2パターンが用意されています。車両のバリエーションは、それぞれ一般車両とブルートレインの2種が展開。

ハードケース（2750円）は、車両の「顔」を正面から見れるデザイン。モデルになった電車は、209系500番台京葉線、E231系東海道本線・湘南新宿ライン、E231系500番台山手線、681系2000番台、923形ドクターイエロー、103系播但線、103系大阪環状線、103系関西本線、キハ181系-1の9種類。

ブルートレインは、カシオペア、あけぼの、はやぶさ、富士はやぶさ、北斗星、あさかぜ、出雲、なは あかつき、さくら、彗星、日本海、トワイライトEX、ゆうづるの13種類。

TPU／アクリルケース（3300円）は車両番号がアクセントになったデザインで、行き先表示もユニークです。モデルになったのは、209系500番台京葉線、E231系東海道本線・湘南新宿ライン、E231系500番台山手線、681系2000番台、923形 ドクターイエロー、103系播但線、103系大阪環状線、103系関西本線の8種類。ブルートレインは13種類。

TPUケース（3080円）は、路線のラインカラーが目を引くデザイン。モデルになった電車は、209系500番台京葉線、E231系東海道本線・湘南新宿ライン、E231系500番台山手線の3種類。ブルートレインは13種類。

手帳型ケース（3300円）は、機能性の高いレザー調のデザインで、こちらも車体の顔が前面に見えます。モデルとなった電車は、209系500番台京葉線、E231系東海道本線・湘南新宿ライン、E231系500番台山手線、681系2000番台、923形ドクターイエロー、103系播但線、103系大阪環状線、103系関西本線、キハ181系-1の9種類。ブルートレインは13種類。

ほかにも、「JRトレイン壁掛け時計」（7480円）も発売です。ラインカラーと路線の行先表示が目を引く、インテリアにも合わせやすいデザインになっています。",＆GP,スマホ,2019年 12月 9日
＜きゃりーぱみゅぱみゅ＞竹下通り“ジャック”で「びっくり」　今年は仕事もプライベートも「新しいことした」,"
　歌手のきゃりーぱみゅぱみゅさんが12月9日、東京・原宿、竹下通りのスイーツ店「ストロベリーフェチ」で一日店長イベントを開催した。イベントは、スマホ決済サービス「メルペイ」による「渋谷キャッシュレスプロジェクト」の一環として開催。竹下通りには同プロジェクトを告知するきゃりーさんの写真入りフラッグが多数掲げられ、「フラッグができてから初めて竹下通りに来ましたが、自分の顔がたくさんあってびっくり。お母さんに言って見てもらわないとなと思いました」と楽しそうに話していた。【写真特集】可愛い…！　きゃりーぱみゅぱみゅのこの日の装い　全身ショットも",毎日キレイ,スマホ,2019年 12月 9日
まさかの「ながら運転」・自動車教習所の送迎バス運転手　教習生の目の前で重大な交通違反　山形・米沢市,"
山形県米沢市の自動車教習所の送迎バスの運転手が、携帯電話で通話をしながら運転していたことが分かった。バスには新たにドライバーになろうする教習生が乗っていて、目の前で重大な交通違反が行われたことになる。

12月6日午前7時半頃、米沢市の自動車教習所の送迎バスの車内で撮影された動画。ルームミラーに運転手の男性がスマートフォンを使用する姿が写っている。

教習所によると、運転手は60代のパート従業員で、教習生を送迎している途中だった。動画について「間違いなく私」と認めた上で、「つい電話を取ってしまった」とながら運転をしたことを認めたという。

あおり運転は12月1日から罰則が強化されたばかり。この教習所でも教習生だけでなく職員に対しても違反しないよう注意していた矢先だった。教習所は「やってはいけないことを従業員がやってしまった」、「今後このようなことがないよう指導を徹底していく」と話し、現在謹慎中の男性運転手の処分を検討している。",さくらんぼテレビ,スマホ,2019年 12月 9日
"シャオミ、煮込み調理もできるスマホ連携IH炊飯器を9,999円で日本投入 ～スマートバンド4も","
　Xiaomi(シャオミ)は、スマホと連携し煮込み調理や中華粥などもできるIH炊飯器「Mi IH炊飯器」を、日本市場に投入することを発表した。Amazon.co.jpより、年内販売予定としている。価格は9,999円(税抜)。【この記事に関する別の画像を見る】　5.5合炊きのIH炊飯器。高度な誘導加熱技術と3mmの頑丈な内釜を採用し、熱を均一に伝えられ、釜内部の温度差を最小限に抑えながら炊飯できるという。同社の炊飯器は、三洋とパナソニックで炊飯器の開発責任者を担当していた、内藤 毅氏が開発に携わっている。

　Wi-Fi接続による、スマートフォンとの連携機能も搭載。専用アプリからいつでも遠隔操作でき、帰宅時間に合わせて運転をスタートさせておけば、炊きたてのごはんが食べられるとする。アプリから食感登録もでき、いつでも好みの食感で炊飯できるとしている。

　運転メニューは、白米のほか玄米、お粥を用意。アプリからは、「蒸す/煮込み」メニューも選択でき、角煮やスープなども作れるという。内釜の上にセットできる蒸しカゴも備え、ご飯を炊きながら蒸し野菜を作るといった同時調理にも対応する。スープやお粥を作ることを想定して、通常のしゃもじに加え、深さがあるしゃもじも付属する。

■活動量計「Mi スマートバンド4」

　このほか、活動量計「Mi スマートバンド4」を、12月23日に発売する。本日12月9日から、Amazon.co.jpにて予約受注を開始した。価格は3,490円(税抜)。

　6軸センサーを採用し、消費カロリー、心拍数、歩数、距離などを自動的に記録。5atmの防水性能により、新たにスイムトラックモードも導入している。

　液晶は、フルカラーAMOLEDディスプレイ(120×240px)で、前モデルより画面サイズを39.9%拡大した。メッセージ通知や再生中の音楽、フィットネスの統計などを即座に表示するという。

　稼働時間は、通常使用の場合で最大20日間。充電時間は最大2時間。対応端末は、AndroidおよびiOS。",Impress Watch,スマホ,2019年 12月 9日
DNPやJR東日本ら、NFCタグを活用した技術検証　スマホでチケット確認や支払い,"
　JR東日本、アクアビットスパイラルズ、ソニーイメージングプロダクツ＆ソリューションズ、大日本印刷は、12月9日にNFCタグを活用した共同技術検証に合意した。

　薄い小型の紙やシール形状をしたNFCタグは、決済端末など特別な機器を用意せず店舗や施設にて貼付・配置すればキャッシュレス決済を導入できる。今回の技術検証では、NFCタグにスマートフォンをタッチすればチケットの確認や支払いなどができる利用シーンを想定。スマートフォンのNFC機能の1つ「リーダー／ライターモード」で、NFCタグ内の情報を読み取る技術を活用したものとなる。

　4社はこの技術検証の結果を踏まえ、より広い交通領域へのNFCサービスの拡大、決済のユーザビリティ向上に向けて積極的に取り組んでいくとしている。",ITmedia Mobile,スマホ,2019年 12月 9日
きゃりーぱみゅぱみゅ、メルカリ出品にハマる「最近はクラッチバックが売れた」,"
　歌手のきゃりーぱみゅぱみゅ（26）が12月9日、都内で開催された「渋谷キャッシュレスプロジェクト」発表会に出席、メルカリ出品にハマっていると明かした。【動画】きゃりーぱみゅぱみゅ、2019年は「色々新しい事に挑戦した」　本プロジェクトでは、スマホ決済サービス「メルペイ」が、原宿や渋谷などで若年層に向けてキャッシュレスの利便性・お得さを体感する機会を提供する。この日、きゃりーは原宿のいちご飴専門店「ストロベリーフェチ」の1日店長に就任し、実際にメルペイ決済を実演してみせた。また、この日着用していた赤と水色の「メルペイカラー」のエプロン付き衣装については、「キャンディをイメージした。人生であまりエプロンをしたことがないので新鮮」と笑顔でコメントした。

　メルペイとは、メルカリが提供するスマホ決済サービスで、メルカリの売り上げをコンビニなどの支払いで利用できる。今年メルカリを始め、出品にハマっていると話したきゃりーは「最近は、5年くらいもっていたパーティに持っていくようなクラッチバックが売れた」「基本的に売る専門なのでポイントが溜まる。コンビニなどでポイントが使えるのでとても便利」と、サービスの便利さをアピールした。",AbemaTIMES,スマホ,2019年 12月 9日
シャオミが「Mi Band 4」やモバイルバッテリーを日本で発売、1万円のスマート炊飯器も,"
　シャオミ（Xiaomi、小米科技）は、12月9日、日本市場への本格参入を発表した。Androidスマートフォン「Mi Note 10」のほか、ウェアラブルデバイスやIoT家電の投入も発表された。【この記事に関する別の画像を見る】■フルカラーディスプレイを搭載した「Mi Band 4」

　シャオミのリストバンド型ウェアラブルデバイス「Mi Band」シリーズの4世代目となる「Mi Band 4」は、フルカラーの有機ELディスプレイを搭載。

　1回の充電で20日間の連続使用が可能な活動量計で、5気圧までの防水性能を備え、シャオミ以外のAndroidスマートフォンやiPhoneとも連携できる。

　同シリーズは、先代モデルも正規代理店を通じて日本で販売されていた。Mi Band 4は12月23日発売で、価格は3490円（税別、以下同）。

■18W出力の10000mAhモバイルバッテリー「パワーバンク3」

　モバイルバッテリーの新製品「パワーバンク3」も発売される。バッテリー容量は10000mAh、18Wの急速充電に対応する。低電流モードに切り替えることで、ワイヤレスイヤホンやウェアラブルデバイスなどの急速充電を必要としない機器も安全に充電できる。価格は1899円、カラーはシルバーとブラックの2色。

■スマホ連携機能を搭載した「Mi IH炊飯器」

　「Mi IH炊飯器」は、スマートフォン用アプリ「Mi Home」を使った遠隔操作が可能なスマート炊飯器。帰宅前に炊飯器を起動したり、好みの炊き加減に設定したりできる。

　開発には元三洋の日本人技術者も携わっており、熱が均一に伝わる厚さ3mmの内釜、焦げ付きを防止するPFAコーティングを採用する。価格は9999円。

■1万円台で買えるメタルスーツケース

　「Xiaomi メタルキャリーオンスーツケース 20インチ」は、アルミマグネシウム合金を用いた耐久性の高いシェル、TSA認証のデュアルロックを採用したスーツケース。価格は1万7900円。

　耐摩耗性ポリカーボネート素材を採用した「Xiaomi スーツケース クラシック 20インチ」も販売され、こちらは7990円。",Impress Watch,スマホ,2019年 12月 9日
