title,content,media,keyword,date
三代目JSB、秦 基博、Little Glee Monster、sumika、DEAN FUJIOKA……冬のバラードナンバーに注目,"
　切なくも愛おしい思いを綴った三代目 J SOUL BROTHERS from EXILE TRIBEのバラードシングル、温かい感情を呼び起こすクリスマスソングを収録したLittle Glee Monsterの新作。この季節にピッタリのバラードナンバーを中心に、トップアーティストの新作をピックアップしました。

　4月から11月にかけて5大ドームツアー『RAISE THE FLAG』を完遂し、自己最多となる115万人を動員した三代目 J SOUL BROTHERS from EXILE TRIBE。2019年を締めくくるのは、白をテーマカラーにしたシングルだ。決して会えることがない“あなた”への真摯な思いを映し出す「冬空」、“こんな時代からこそ、自分自身と君を信じよう”という願いを込めた「White Wings」。バラード2曲による本作は、このグループが持っている繊細な叙情性と豊かなメッセージをじっくり堪能できる作品に仕上がっている。軸になっているのはもちろん、今市隆二、登坂広臣のボーカル。R＆Bテイストのトラックを自然に捉え、強い感情表現とダイナミックなメロディを奏でる二人の歌は、10周年を目前にした現在、さらに精度を上げているようだ。

　先行シングル「Raspberry」をはじめ、「仰げば青空」（SoftBank music projectテレビCM「卒業」篇CMソング）、「花」（Panasonic企業CM「一人ひとりの物語」イメージソング）などを含む秦 基博の約4年ぶりのオリジナルアルバム『コペルニクス』。海外のR＆B、ヒップホップの影響を感じさせる「Lost」、ファンクのエッセンスを取り入れた「アース・コレクション」など、新機軸とも言えるサウンドを取り入れた本作は、「コペルニクス」というタイトル通り、大きな転換点となる作品と言えるだろう。これまでのイメージに則した、温かくて切ないバラードナンバー「LOVE LETTER」も本作の聴きどころ。アコースティックギターと歌を中心にしたシンプルな音響とともに、“ずっと一人じゃなかった”という愛しい感情がじんわりと伝わる、穏やかで美しい名曲だと思う。

　デビュー5周年を迎えたLittle Glee Monsterの新作は、色彩豊かな5曲入りEP『I Feel The Light』。「I Feel The Light featuring Earth， Wind & Fire」は、なんとEarth， Wind & Fireとのコラボ曲。フィリップ・ベイリー（Vo）がプロデュースを担当、LAレコーディングによるこの曲は、10年代以降のネオソウル、ディスコリバイバルの流れを汲みつつ、現代的なポップネスを交えたダンスナンバーだ（フィリップもボーカルで参加！）。2曲目の「愛しさにリボンをかけて」は、“大切な人に愛を伝えたい気持ち”をテーマにしたクリスマスソング。大らかな解放感と神聖な雰囲気を併せ持ったメロディ、愛の本質を映し出す歌詞を、メンバー5人は豊かな表現力をたたえたボーカル／ハーモニーによって見事に表現している。

　2ndアルバム『Chime』のヒット、日本武道館、横浜アリーナ、大阪城ホールを含む自身最大規模のツアーを成功させるなど、さらなる躍進を果たしたsumikaのニューシングル『願い / ハイヤーグラウンド』は大型タイアップによる両A面。「願い」は、社会現象となったドラマ『おっさんずラブ』（テレビ朝日系）シーズン2の主題歌。深みのあるリズムセクション、煌びやかなストリングス、ドラマティックなメロディラインがひとつになったミディアムバラードだ。冬の情景とともに大切な人との関わり方を描いた歌詞、ひとつひとつの言葉を手渡すようなボーカルも心に残る。映画『僕のヒーローアカデミアTHE MOVIE ヒーローズ：ライジング』主題歌として制作された「ハイヤーグラウンド」は、エッジーなギターサウンド、アタックの強いビートを軸にしたロックチューン。このバンドが持つ幅広い音楽性をバランスよく体感できるシングルである。

　DEAN FUJIOKAのEP『Shelly』の表題曲は、自身が主演するドラマ『シャーロック』（フジテレビ系）の主題歌。オルタナR＆B、トラップ、ベースミュージックなどをベースにしたトラック、キック、ベース、歌を中心に音数を押さえたサウンドメイクは、現在進行形のグローバルポップと完全にリンクしている。核になっているのは歌。言葉を心地よくグルーヴさせるボーカル、重層的なコーラスワークは、アルバム『History In The Making』以降のモードを端的に示している。“成就しない思い”を中心に据えたリリックも魅力的。決して手に入らない存在に対する感情を反映した歌詞は、“シャーロック”はもちろん、DEAN FUJIOKA自身のイメージにもよく似合っていると思う。同じくドラマ『シャーロック』のオープニングテーマ「Searching For The Ghost」も収録。",リアルサウンド,ソフトバンク,2019年 12月 10日
〔東京株式〕小幅高＝買い戻しやや優勢（10日後場寄り付き）,"
　【第1部】後場の日経平均株価と東証株価指数（TOPIX）は小幅高。買い戻しがやや優勢となった前場中盤以降の地合いが続いている。
　任天堂が大量の買いで上げ幅を拡大している。ソニーが高く、太陽誘電、アドバンテスも値上がり。武田が値を保ち、第一三共は大幅高。神戸物産は高値圏でもみ合っている。半面、ソフトバンクGが甘く、ファーストリテは小幅安。トヨタが下げ、キーエンスも安く、ファナックは弱含み。JTが売られ、JR東日本もさえない。",時事通信,ソフトバンク,2019年 12月 10日
田中圭の恋人がサンタクロース、ソフトバンク新CM　歌は宮本浩次,"
田中圭が出演するソフトバンクの新テレビCM「恋人がサンタクロース」篇が、12月11日から全国で放映される。【動画と画像を見る（9枚）】「音楽」を主役に展開する「♬SoftBank music project」の取り組みとして制作された同CM。宮本浩次がカバーした松任谷由実の“恋人がサンタクロース”がCMソングとして使用されている。

田中圭のスクープを狙うパパラッチの視点から始まる同CMでは、クリスマスツリーをバックに佇む田中の姿、パパラッチたちが「スクープいただきっすね！」「おお！　恋人来たあ！」と会話する場面、田中がサンタクロースと抱き合い、手を繋いで歩く様子、パパラッチたちの「あれって、ラブですか？」「ああ、ラブだ」というやりとり、サンタクロースのマスクを剥ぎ取った桜井ユキが田中に「もう気にしなくていいよ」と笑みを浮かべるシーン、「速度制限も気にしなくていいよ」というナレーションなどが確認できる。

撮影中、田中は袋の中からプレゼントを取り出したサンタクロースに対して「えっ、何これ？ ウォーッ！」と歓喜の声を上げ感情のたかぶりを表現。監督からハイタッチのリクエストが入ると力強い音が周囲に響き渡り、田中は「ちょっと激しくやり過ぎましたね」と頭をかいたという。2人で手を繋いで歩くシーンでは、監督が「本当に楽しそうですね」と微笑みながらながらOKを出す一幕もあったとのこと。

撮影後のインタビューで桜井ユキは田中の印象について「田中さんは作品でエネルギーが高い役も演じているのを見ていたんですが、画面越しに勝手にはかないイメージを抱いてました。今回初めてお会いしてみて、やっぱりはかないなと思いました」とコメント。クリスマスの思い出について訊かれた田中は「毎年仕事しているイメージですね（笑）。小さい時のクリスマスが、家族みんなでチキンを食べるというイメージなので、家族とチキンを食べて、ゆっくり過ごすだけでもいいなと思います」と答えた。

宮本浩次がカバーした“恋人がサンタクロース”について田中は「あれだけ“恋人がサンタクロース”という曲が浸透していて、その声のイメージが全部私たちの頭の中にあるのに、めっちゃ宮本さん色を出しているじゃないですか」「すごいなーと思いました」と語った。

また、「2020年はどんな年にしたいか」という質問に田中は「楽しけりゃいいです（笑）」、桜井は「それが一番いいですね（笑）。2020年は、お仕事もプライベートも日々楽しく。あとは見たいものを見て、行きたかったところに一つでも多く行けたらいいなと思います」と述べている。",CINRA.NET,ソフトバンク,2019年 12月 10日
田中圭、桜井ユキとの“クリスマスデート”に「色っぽくて、ドキッとしました」,"
　俳優の田中圭（35）と女優の桜井ユキ（32）が出演するソフトバンクの新CMが完成した。

　新CMはクリスマスの街を舞台に恋人と待ち合わせている田中と、スクープを狙うパパラッチの様子をコミカルに描いており、サンタクロースに扮する桜井の恋人役の田中は「セリフがめちゃくちゃ色っぽかったです。お芝居をした瞬間急に、ドキッとしました」と感想を漏らした。

　テレビ朝日系で放送中のドラマ『おっさんずラブ-in the sky-』をはじめ、今年はバラエティ番組や映画などで幅広い活躍を見せた田中。自然体で臨みたいという来年の抱負について「本当に挑戦ばかりしていたなというか、たくさんのことに挑戦した1年でした。（2020年は）楽しけりゃいいですね」と笑い、それを受けて桜井も「それが一番いいですね。2020年はお仕事もプライベートも含めて日々楽しく。あとは色々見たいもの、行きたいところに一つでも多く行けたらいいなと思います。まぁでも、総じて楽しくですね」と顔を合わせて笑顔を見せた。
（AbemaTV／『AbemaNews』より）",AbemaTIMES,ソフトバンク,2019年 12月 10日
宮本浩次、ソフトバンク新CMで“恋人がサンタクロース”歌唱。田中圭「めっちゃ宮本さん色」,"
宮本浩次がソフトバンク「♬SoftBank music project」の新テレビCM「恋人がサンタクロース」篇（30秒）において、松任谷由実の楽曲“恋人がサンタクロース”をカバーしている。


同CMには、田中圭が出演している。クリスマスをテーマに、恋人と待ち合わせをしている田中とスクープを狙うパパラッチの攻防戦がコミカルに描かれており、田中と恋人がラストシーンで会話する「気にしない」というセリフを通して、速度制限を気にせずに使えるソフトバンクの料金プラン「ウルトラギガモンスター＋（プラス）」の魅力を紹介するという。なお、放映開始は明日12月11日（水）より。

【田中圭・桜井ユキ　インタビュー】

――撮影の感想をお聞かせください。
【田中】：すっかりクリスマス気分になっちゃいました。
【桜井】：今まで見る側だったソフトバンクの CM に初めて出演させていただきました。クリスマス気
分で、あんなに大きいツリーが目の前で見られて、とても幸せでした。
【田中】：ユキちゃんのセリフがめちゃくちゃ色っぽくて、お芝居した瞬間、急にドキッとしました。
【桜井】：ありがとうございます（笑）。田中さんは作品でエネルギーが高い役も演じているのを見ていたんですが、画面越しに勝手にはかないイメージを抱いてました。今回初めてお会いしてみて、やっぱりはかないなと思いました。
【田中】：はかないですか？すごく嬉しいです。これから自分でも「はかない」とアピールします
（笑）。

――クリスマスの思い出をお聞かせください。
【田中】：毎年仕事しているイメージですね（笑）。小さい時のクリスマスが、家族みんなでチキンを食べるというイメージなので、家族とチキンを食べて、ゆっくり過ごすだけでもいいなと思います。
【桜井】：イベント事をちゃんとするような家庭で、ツリーを飾って、ケーキを食べるということを毎年していました。大人になってからもクリスマスになると、家族で過ごした子どもの頃を思い出しますね。

――今年のクリスマスの過ごし方は？
【桜井】：友達とケーキを食べながら、ゆっくりできたらいいなという感じでしたが、今回の撮影のようにレストランでディナーもいいなと思いました。

――宮本浩次さんが松任谷由実さんの“恋人がサンタクロース”をカバーした曲を聴いてみて、いかがでしたか？
【田中】：あれだけ“恋人がサンタクロース”という曲が浸透していて、その声のイメージが全部私たちの頭の中にあるのに、めっちゃ宮本さん色を出しているじゃないですか。
【桜井】：全然、別物でしたよね。
【田中】：すごいなーと思いました。

――2019年はどんな年でしたか？
【田中】：本当に挑戦ばかりしていたなというか、たくさんのことに挑戦させてもらった一年でした。
【桜井】：お仕事でもプライベートでも、割と自分のやりたいこととか、見たいものを見られた年だったので、2019年は「充実」の年だったなと思います。

――2020年はどんな年にしたいですか？
【田中】：楽しけりゃいいです（笑）。
【桜井】：それが一番いいですね（笑）。2020 年は、お仕事もプライベートも日々楽しく。あとは見たいものを見て、行きたかったところに一つでも多く行けたらいいなと思います。

――CMをご覧になる視聴者の皆さんにメッセージをお願いします。
【田中】：素敵なクリスマスを皆さんに過ごしてほしいという思いしかないです。
【桜井】：今回の撮影みたいなシチュエーションも素敵ですよね。
【田中】：ちなみに、サンタクロースのマスクを外しても、ユキちゃんは出てきません（笑）。
【田中・桜井】：素敵なクリスマスをお過ごしください！

●CM情報
ソフトバンク 新テレビ CM「恋人がサンタクロース」篇（30 秒）
出演：田中圭・桜井ユキ
テーマソング：“恋人がサンタクロース”（歌：宮本浩次／作詞・作曲：松任谷由実）
放映開始日：2019年12月11日（水）
放映地域：全国

「♬SoftBank music project」オフィシャルサイト
宮本浩次　オフィシャルサイト",rockinon.com,ソフトバンク,2019年 12月 10日
宮本浩次、田中圭出演のソフトバンク新CMで松任谷由実「恋人がサンタクロース」カバー,"
　12月11日から全国で放映を開始するソフトバンク新テレビCM「恋人がサンタクロース」篇のテーマソングに、宮本浩次がカバーする松任谷由実の「恋人がサンタクロース」が起用される。サンタクロースと抱き合う田中圭【写真】　同CMは、ソフトバンクが現代を生きる人々の生活に欠かせない「音楽」を主役に展開する 「SoftBank music project」の取り組みとして、クリスマスをテーマにしたもの。同プロジェクトは、「音楽とスマホで、僕らはもっと自由になれる。」というメッセージの下、年間を通して季節やテーマに合わせて、いきものがかりを皮切りに、クリープハイプや秦 基博、サカナクション、Mrs. GREEN APPLEなどさまざまなアーティストとコラボレーションしており、今回は宮本が初のクリスマスソングを歌う。

　同CMは、クリスマスの街が舞台で田中圭が出演。恋人と待ち合わせをしている田中と、スクープを狙うパパラッチの攻防戦をコミカルに描いている。田中と恋人がラストシーンで会話する「気にしない」というセリフを通して、速度制限を気にせずに使える、“ソフトバンク”の料金プラン「ウルトラギガモンスター＋（プラス）」の魅力を紹介しているという。",リアルサウンド,ソフトバンク,2019年 12月 10日
高校バスケをARグラスで観戦、ソフトバンクが5Gプレサービス,"
　ソフトバンクは、武蔵野の森 総合スポーツプラザ（東京都調布市）で開催される、高校バスケットボールの大会「SoftBank ウインターカップ2019 令和元年度第72回全国高等学校バスケットボール選手権大会」の一部の試合で、5Gのプレサービスを提供する。開催期間は12月23日～29日。観戦にはチケットが必要。【この記事に関する別の画像を見る】　同大会では、5Gネットワークを通じた試合映像や、試合中のスタッツ情報などを会場内のタブレットに配信するサービスを提供する。会場内の天井などに設置したカメラの映像を利用し、選手の位置や、各選手の試合中の得点数などをタブレットに表示する。

　ほかにも、会場を俯瞰するカメラと多視点のカメラを組み合わせて、ARグラスとスマートフォンを利用し、自由視点で試合観戦をできるサービスも用意する。観客席からの実際の試合の光景に、コートサイドと双方のバスケットゴールの3カ所から撮影された映像が重ねて表示され、視点を切り替えながら観戦できる。

　ARグラスに接続したスマートフォンには、応援ボタンが表示され、ユーザーが押した数に応じて応援ケージが増加し、ARグラスに表示される。ARグラスを装着する他のユーザーにも応援ケージが表示され、応援の量を競い合いながら、観戦を楽しめる。ARグラスによる観戦体験は、2019年8月に行われた5Gプレサービスに引き続き提供する。

　俯瞰カメラと多視点カメラの映像は、5G基地局から5G端末、Wi-Fiを経由して、ユーザーのタブレットやARグラスに映像が配信される。基地局には、エリクソン製の設備、5G端末には、シャープとソニーモバイル製の実証実験用スマートフォンが活用される。",Impress Watch,ソフトバンク,2019年 12月 10日
通信キャリア各社のポイントサービスをあらためて整理する,"
　月々の携帯利用料金に応じ、通信キャリア各社が顧客に付与する「ポイント」サービス。約1年前に状況を整理したが、改めて現状を取りまとめてみたい。

■各社ポイントサービスにおける主な差異点

通信キャリア各社のポイントサービスは、「運営主体」（ソフトバンクは共通ポイントプログラムを採用、残る3社は自社運営）、「利用方法」（KDDIはプリペイドカードにチャージして利用、残る3社は加盟店でそのまま利用可能）の大きく2点で差があることは前回整理した通りだ。

それに加えてもう1点、新たな違いも見えてきた。それが、急速に普及しつつあるQRコード決済時の充当だ。NTTドコモ、KDDI、楽天の3社は、貯まったポイントをQRコード決済の支払時に利用できるようになっている。一方、ソフトバンクは、「Tポイント」を「PayPay」にチャージすることができないため、Tポイント加盟店でないとポイントが利用できない。

■1年で加盟店の状況は様変わり

ポイントサービスの使い勝手を左右する、ポイント加盟店の状況も変化している。KDDIはほぼ全てのMastercard加盟店で「au WALLET プリペイドカード」が利用できるため、カード利用時の付与ポイントが通常より増量される「ポイントアップ店」のみ記載している。

　1年前と比べ、複数のポイントカードが利用できる加盟店（表中、赤字）が増える傾向にある。ファミリーマートやミスタードーナツが、複数サービス対応店へと変化している。来春には、吉野家も複数サービス対応になることが明らかになっている。

　また、有力加盟店を奪い合う動きも出ている。1年前はTポイント陣営だったドトールコーヒーグループとアルペングループは、それぞれ別の陣営に「乗り換え」を行っている。

　QRコード決済の加盟店獲得とあわせ、ポイントサービス加盟店の陣取り合戦は今後も続くことが予想される。引き続き状況をフォローしていきたい。",Impress Watch,ソフトバンク,2019年 12月 10日
〔東京株式〕小幅安＝米株安嫌気も押し目買い（10日前場）☆差替,"
　【第1部】前日の米国株下落を嫌気し、売り優勢で始まったが、前引けにかけて押し目買いが入った。日経平均株価は前日比2円03銭安の2万3428円67銭と小幅安。東証株価指数（TOPIX）は0．25ポイント高の1722．32と小幅高だった。
　銘柄の44％が値下がりし、値上がりは49％だった。出来高は4億9260万株、売買代金は8567億円。
　業種別株価指数（全33業種）では電気・ガス業、石油・石炭製品、パルプ・紙の下落が目立った。上昇は水産・農林業、その他製品、繊維製品など。
　個別銘柄では、ソフトバンクG、ファーストリテがさえない。三菱UFJ、三菱商が弱含み。関西電、東電力HDが下押した。トヨタ、キーエンス、東エレクが軟調。出光興産、王子HDも安い。半面、任天堂、ソニー、太陽誘電が堅調。武田、花王もしっかり。日水が買われ、東レも締まった。神戸物産が値を上げた。NTTドコモ、KDDIは強含み。　【第2部】軟調。東芝、那須鉄が安く、インタトレードは小反落。INSPECは急伸。REMIXも上昇。出来高7030万株。
　▽イベント控え様子見
　10日午前の東京株式市場は、前日の米国株安を受けて弱含みで始まり、日経平均株価はマイナス圏で推移する時間が続いた。今後、米連邦準備制度理事会（FOMC）や英総選挙、米国の対中制裁関税の発動期日を控える。「海外含め市場はイベント待ち」（大手証券）となり、様子見気分が強かった。
　米中貿易交渉の進展につながるニュースがないことも見送りにつながった。市場関係者は「米中協議が物別れで終わることはないだろうが、既存の制裁関税については撤廃か継続かで見方が分かれている」（銀行系証券）と指摘。失望売りに下押す場面が到来することもあり得ると警戒していた。
　日経平均は値がさ株の軟化によりしばらく上値が重かったが、押し目買いも入り前日終値付近まで戻し、方向感はなかった。
　225先物12月きりは、シカゴ市場の円建て清算値と同水準の2万3370円で寄り付き、その後も小幅安で推移した。225オプション12月きりは、プットがまちまちで、コールは売られた。",時事通信,ソフトバンク,2019年 12月 10日
ジェイソン・ブラムが混乱のWeWorkを映画化,"
　［映画.com ニュース］米シェアオフィス大手「WeWork」を題材にした映画企画が進行中だと、米ハリウッド・レポーターが報じている。

　WeWorkといえば、シェアオフィス事業で急成長を遂げたスタートアップだが、企業統治の欠陥から株式新規公開（IPO）計画が頓挫。社債の急落により、投資を行ったソフトバンクが巨額損失を計上、今年9月にはWeWork創業者のひとりであるアダム・ニューマンがCEOから退いたことで知られている。

　ユニバーサル・ピクチャーズとジェイソン・ブラム率いるブラムハウスがニューマンを題材にした映画を急ピッチで進めており、破天荒な振る舞いで知られたニューマンと、巨額投資を行ったソフトバンクグループの孫正義社長の人生を軸にした作品になるようだ。米Fast Companyのライター、カトリーナ・ブルッカーが執筆中の新刊を元に、「マネー・ショート　華麗なる大逆転」のチャールズ・ランドルフが脚本を執筆する。

　プロデューサーを務めるブラムは、「パラノーマル・アクティビティ」「パージ」「インシディアス」などのホラーシリーズで成功を収め、最近はスパイク・リー監督の「ブラック・クランズマン」や、米FOXニュースの立役者ロジャー・エイルズを題材にしたテレビドラマ「The Loudest Voice（原題）」など守備範囲を広げている。",映画.com,ソフトバンク,2019年 12月 10日
