title,content,media,keyword,date
企業買収ばかり繰り返す孫正義は「虚業」なのか,"
LINE、ZOZO、アスクル……ソフトバンクグループの孫正義会長は、国内大手ネット企業の買収を次々と成功させてきた。だが、企業買収ばかりを繰り返す手法は「虚業ではないか」とも批判される。実態はどうか。経済評論家の加谷珪一が解説する――。

■破竹の勢いだったソフトバンクの成長に陰り？　

　ソフトバンクグループが、急ピッチで国内ネット企業の買収を進めている。傘下のヤフーを中心に、ZOZO(ゾゾ)、アスクル、LINEなど有力企業を次々と取り込んできたが、特にヤフーとLINEとの経営統合がもたらす影響は大きい。ソフトバンクグループは一連の買収によって、事実上、1億人の経済圏を獲得したといってよいだろう。

　これだけの規模になれば、国内ネット企業のガリバーとして、多くの利用者を囲い込める反面、買収した各事業の利益相反調整など、オペレーションは複雑になる。一部からは、市場の寡占化が進むことによって、これまで破竹の勢いだったソフトバンクグループの成長に陰りが出ることを指摘する声も出ている。

　ソフトバンクグループの有力子会社でポータルサイト「ヤフー」を運営するZホールディングス(ZHD)とLINEは2019年11月18日、経営統合する方針を明らかにした。2020年10月までに、両社の親会社であるソフトバンクと韓国ネイバーが共同持株会社を設立し、この持ち株会社がZHDの株式を7割保有。傘下に事業子会社としてヤフーとLINEを並立させるスキームが検討されている。",プレジデントオンライン,ソフトバンク,2019年 12月 9日
優秀なリーダーになるために必要な“たった1つの能力”,"
― 連載・現役コンサルタントのシンプル仕事術  ―

　こんにちは、戦略コンサルタントのShinです。今日は、これからのリーダーに必要な能力について考えていきます。

　最近「本当の意味でのリーダーとは何だろうか？」と考える機会が増えてきました。",bizSPA！フレッシュ,ソフトバンク,2019年 12月 9日
韓日経済協力が「両国生存ための運命的選択」（１）,"
中国の影響力拡大と米国の保護貿易主義が渦巻いていて、国際秩序が揺らいでいる。韓国はその間に挟まれて最も大きな影響を受けている。安全保障は韓日米の三角同盟を基盤とし、経済は中国に軸を置きながらだ。さらに徴用被害者問題など日本との過去をめぐる葛藤が経済に広がり、最悪の地政学的危機に陥っている。

この荒波に巻き込まれた韓日の財界人が「未来設計（Ｓｈａｐｉｎｇ　ｔｈｅ　Ｆｕｔｕｒｅ）」をテーマに６－８日に開催された「東京フォーラム２０１９」で会った。討論には韓国・日本・米国・中国の専門家１５０人が参加した。崔鍾賢（チェ・ジョンヒョン）学術財団理事長であり同フォーラムを組織した崔泰源（チェ・テウォン）ＳＫグループ会長と李洪九（イ・ホング）元首相をはじめ、孫正義ソフトバンク会長、馬雲アリババ創業者、中西宏明日本経済人連合会（経団連）会長など韓日両国の財界のリーダーが含まれた。

辛東彬（シン・ドンビン、重光昭夫）ロッテグループ会長と李夏慶（イ・ハギョン）中央日報主筆は行事場所の東京大安田講堂で会い、両国を代表する財界人が積極的な協力の必要性を強調したのは、韓日首脳会談（２４日と予想）に良いメッセージになるという意見で一致した。

まず「２１世紀の北東アジア地政学の挑戦と機会」をテーマに開かれた国際関係セッションでは、米中討論者が国際秩序をめぐって観点の違いを表し、韓日討論者は過去から抜け出して未来志向的な協力関係を構築しようという方向で意見を述べた。北朝鮮の核問題に関しては韓半島（朝鮮半島）非核化を前提に解決すべきだという見解が多かった。「米朝対話が決裂して非核化が実現せず、ブラッディ・ノーズ（Ｂｌｏｏｄｙ　Ｎｏｓｅ、鼻血）に向かったり韓日の核武装につながったりするのだろうか」という司会者の質問（朴仁国崔鍾賢学術院院長）に対する回答だった。

フォーラムには約１０００人の聴衆が集まった。討論者の意見を紹介する。

▼エドウィン・フュルナー・ヘリテージ財団理事長＝韓日両国は米国を中心に近づくべきだ。トランプ米大統領が在韓米軍防衛費として５０億ドルを要求したのは分担金交渉のためであり、在韓米軍撤収の意図ではない。

▼ジョン・ハムレ米戦略国際問題研究所（ＣＳＩＳ）所長＝アジアは米国にとって最も重要な戦略的な舞台になった。中国の影響力拡大とロシアの存在感もその背景だ。過去４０年間の前向きに中国と交流しようという「ニクソン・キッシンジャー・コンセンサス」はもう終わった。特に経済分野で中国の挑戦が強まり、米国を脅かすほど攻撃的であることを知っている。

▼チャンウィンリン中国社会科学院地域安保研究センター長＝中国の急浮上が国際秩序を変えている。中米競争は平和的に対話して協力する戦略的な接近が要求される。過去とは違い核兵器が登場し、どちらも戦争で問題を解決できない時代になったからだ。北東アジア３カ国間の複雑な問題と北核イシューもこのような脈絡で解決しなければいけない。

▼尹永グァン（ユン・ヨングァン）元外交部長官＝現在の国際秩序は、国際社会を導いていくリーダーシップがない「キンドルバーガー・ジレンマ」が懸念される。１９３０年代の大恐慌と第２次世界大戦はグローバルリーダーシップの空白状態で起き、世界は今もそのような状況に直面している。米国は疲れて、中国はまだ責任感がない。この渦中に浮上した北朝鮮の核問題は段階的に事態を解決するスモールディールが最も効果的な解決法であり得る。粘り強く非核化努力をしていくしかない。

▼藤崎一郎元駐米日本大使＝中国が米国のライバルになり、緊張感が高まっている。北朝鮮の核は現状態の凍結ではなく「ＣＶＩＤ」（完全で検証可能かつ不可逆的な非核化）にならなければいけない。

「韓日経済交流と未来の協力案」をテーマに開かれたビジネス特別セッションでは未来志向的な協力案が出てきた。半導体、第５世代移動通信（５Ｇ）、液化天然ガス（ＬＮＧ）、３カ国共同進出など韓日企業が協力すれば、シナジーを出すことが多いことが確認された。崔泰源会長は「こうしたアイデアを実行する協力機構としてフューチャーファウンデーション（Ｆｕｔｕｒｅ　Ｆｏｕｎｄａｔｉｏｎ＝未来財団）を作ろう」と提案した。共に解決策を見いだし、お互いを理解し、信頼を構築していこうという要旨だった。地政学的な危機を「状況学的協力」で解決しようという趣旨だ。両国生存のための運命的な選択だ。討論は「韓日関係を越えてグローバルな観点で議論することが重要だ」という司会者（小倉和男元駐韓日本大使）の提案で幅広く行われた。

▼キム・ユン韓日経済協会会長（三養ホールディングス会長）＝財界人には一貫性・透明性・予測の可能性が非常に重要だ。こうした状況で葛藤が続き、韓日両国貿易も減少している。その結果、素材・部品・装備のグローバル供給網が脅かされている。両国企業は今までお互い協力し、善意の競争をして共存共栄する道を歩いてきた。もう理念や総論から抜け出し、一日も早く現実を基づいて協力する関係に戻らなければいけない。まず第３国共同進出を提案する。リスクを最小化し、強みを最大化することができる。三養社と三菱商事がパキスタンでしたポリエステル合作事業など成功事例も多い。

▼中西宏明経団連会長＝韓国企業が成長し、グローバル供給網が韓国・日本にとどまらずグローバル経済につながった。両国の政治がどうなってもビジネスは常に協力関係を通じて発展できるという点を見せている。ところが、作れば売れる時代ではなく、お互いが共有・分業してこそ成長できる新しい時代がきた。特に少子高齢化の問題が深刻だ。消費者の観点で新しい価値観によって市場が大きく成長する世界へと変わっている。このような変化に対応しなければいけない。",中央日報日本語版,ソフトバンク,2019年 12月 9日
孫正義、ジャック・マーが東大で語り尽くした1時間 ── 未来を変えるAI、経営手法、若手へのアドバイス,"
ソフトバンクグループ会長兼社長の孫正義氏と、中国大手IT企業・アリババの会長職を9月に引退したジャック・マー（馬雲）氏が12月6日、東京大学本郷キャンパスで行われた「Tokyo Forum 2019」の特別講演にあらわれた。【全画像をみる】孫正義、ジャック・マーが東大で語り尽くした1時間 ── 未来を変えるAI、経営手法、若手へのアドバイス両氏ともに世界屈指の著名な「創業者」であり、親交も深い。東京大学に集まった学生や関係者を前に、出会ったときのエピソードや起業家・投資家としての重要視していることなどを語った。そのいくつかの重要なトピックをチェックしてみよう。",BUSINESS INSIDER JAPAN,ソフトバンク,2019年 12月 9日
「10年で200億円使う」ソフトバンクが東大とAI研究所を創った理由,"
「東大と我々が組むことによって、学生たちに学ぶ機会や、会社を興すチャンスをどんどん与えていきたいと思う。今回の研究所設立が、そのきっかけになれば良いと思う」【全画像をみる】「10年で200億円使う」ソフトバンクが東大とAI研究所を創った理由ソフトバンクの孫正義会長はこう話した。

12月6日、東京大学とソフトバンクは、世界最高レベルの人材を擁するAIの研究機関になることを目指して『Beyond AI研究所』を開設。研究成果の事業化に向けた取り組みに関する協定を締結したと発表した。

ソフトバンクがBeyond AI研究所に投じる資金は10年間で200億円規模。1年あたり20億円という金額は、国内の産学連携では最大級といえるものだ。",BUSINESS INSIDER JAPAN,ソフトバンク,2019年 12月 9日
『一度死んでみた』本予告、広瀬すずのライブシーンやデス口調も　劇伴はヒャダインが担当,"
　2020年3月20日に公開される広瀬すず主演映画『一度死んでみた』より、本予告と本ポスタービジュアルが公開され、あわせて本作の劇伴をヒャダインが担当することが発表された。【動画】『一度死んでみた』本予告　本作は、ソフトバンク「白戸家」シリーズなど数多くの国民的CMを世に送り出してきたCMプランナー／クリエイティブ・ディレクターの澤本嘉光が脚本を手がけ、au「三太郎」シリーズなど人気CMを手がけるCMディレクターの浜崎慎治が映画初監督を務めたオリジナルコメディ。

　売れないデスメタルバンドでボーカルをしている女子大生の七瀬（広瀬すず）は、父・計（堤真一）のことが大嫌いな反抗期こじらせ女子。バンドのライブで「一度死んでくれ！」と計への不満をシャウトしていたある日、計が突然死んでしまったとの知らせが。実は「2日間だけ死んじゃう薬」を飲んだためで、計は仮死状態にあるのだった。ところが、2日後に生き返るはずが、彼をそのまま亡き者にしようという陰謀により、生き返る前に火葬されてしまいそうに。大嫌いだった父の絶体絶命のピンチに直面した七瀬は、計の部下で存在感のなさすぎる松岡（吉沢亮）とともに立ち上がることを決意する。

　広瀬、吉沢亮、堤真一のほか、リリー・フランキー、小澤征悦、嶋田久作、木村多江、松田翔太のほか、妻夫木聡、佐藤健、池田エライザ、志尊淳、柄本時生、前野朋哉、清水伸、西野七瀬、古田新太、大友康平、竹中直人、加藤諒、でんでん、城田優、原日出子、真壁刀義、本間朋晃、野口聡一らが出演する。

　公開された予告編は、七瀬が、「野畑七瀬、慶明大学薬学部3年デス！　嫌いなものは野畑計、私の父デス！」と癖のあるデス口調で話している象徴的なシーンから始まり、父・計に「臭い～！」と嫌悪の顔で消臭スプレーを思い切り吹きかける姿も。ライブシーンでは、毛先をピンクに染め上げ、デスメタル調のロックな衣装を着て「死んでくれ～！」と父への不満を歌でシャウトする姿も炸裂している。

　本ポスターでは、雲の上で幽霊になった堤と、困り顔の吉沢につかみかかりながら前に乗り出す広瀬の周りに、総勢26名のキャストたちが写り込んでいる。

　また、ヒャダインが映画の劇伴音楽を担当するのは、『海月姫』（2014年）に続き本作が2作目。ヒャダインは「今回超豪華キャストでしかも底抜けに楽しい映画の劇伴を担当、ということでめちゃくちゃ嬉しかったデス！　曲作りにあたっては主軸であるメタルロックを中心に個性あふれるキャラクターごとに曲のジャンルも変え、各人が華やぐようにカラフルな曲を作りました。そして何より広瀬すずさんの歌唱！　さいっこうデス！！　魂の叫びデス！　本職のメタラーの知り合いに直伝してもらったヘドバンやライブパフォーマンスもめっちゃかっこいいデス！！！　僕はもう何回もこの映画を観ましたが何回も笑います！みなさんの演技が自由すぎて令和って感じデス！！！　観劇後、みなさんもデスデス言うこと間違いなしデス！！　ぜひ観て欲しい……デス！！！　」とコメントを寄せている。",リアルサウンド,ソフトバンク,2019年 12月 9日
【今朝の５本】仕事始めに読んでおきたい厳選ニュース,"
（ブルームバーグ）： 大きなイベント目白押しの週がスタートしました。米連邦公開市場委員会（ＦＯＭＣ）に欧州中央銀行（ＥＣＢ）政策委員会、英総選挙。15日に予定される対中追加関税発動に向けた米中協議の行方もなお見通せず、クリスマスを控えて日々、神経を研ぎ澄まさざるを得ない展開となりそうです。以下は一日を始めるにあたって押さえておきたい５本のニュース。",Bloomberg,ソフトバンク,2019年 12月 9日
広告業界の休日の満足度が高い会社ランキング、3位博報堂、2位セプテーニ、1位は？,"
華やかなイメージもあり、就活生からの人気も絶大な「広告業界」。仕事の範囲が広く、多忙な業界ともいえそうだが「休日の満足度」が高い会社はどこなのだろうか。

※グラフありの元記事は下記同タイトルをクリックすることで見ることができます

今回、キャリコネは広告業界に属する企業をピックアップし、キャリコネのユーザーによる「休日の満足度」評価の平均値が高い順にランキング化した。

広告業界の休日の満足度が高い企業ランキング
「休日の満足度が高い企業」で1位に選ばれたのは、女性活躍推進に注力し、えるぼし認定最高位を取得した『サイバー・コミュニケーションズ』だった。



1位「サイバー・コミュニケーションズ」に関する口コミより
「部署にもよるが、有休はとりやすい。上長もよく休むので、休みにくさはない。定時きっかりで退社してる」（管理部門／30代前半女性／年収548万円／2017年度）

サイバー・コミュニケーションズは、インターネット黎明期の1996年に電通とソフトバンクの共同事業として創設され、現在は電通の完全子会社になっている。

広告会社とメディアを繋ぐ「メディアレップ」として、常に業界をリード。2018年にはデジタル広告のグローバル標準認定を世界で初めて取得した。

女性の活躍推進に関する積極的な取り組みが評価されており、2017年には「えるぼし認定」の最高位（3段階目）を取得。育児と仕事の両立支援策として、慣らし保育期間の休暇制度、育児参加等を目的とした有給休暇取得の促進、配偶者を含めた出産休暇の取得推進などに取り組んでいる。

また、1か月単位の時差勤務、時間単位の有給休暇取得、月2回以上のノー残業デーなど、業務の効率化につながる施策も次々と実行し、労働時間削減に成功している。月の平均所定外労働時間は、36.1時間（2017年度実績）。

「広告業界の“休日の満足度が高い企業“ランキング」
調査対象：『日経業界地図 2018年版』（日本経済新聞出版社）の「広告」に記載の企業のうち、対象期間中に「キャリコネ」に20件以上の評価が寄せられた企業
調査内容：企業別にキャリコネユーザーによる「休日の満足度」評価の平均値を算出（5点満点）
対象期間：2015年4月1日～2018年3月31日

構成／ino",＠ＤＩＭＥ,ソフトバンク,2019年 12月 9日
使って分かった変型2画面スマホ「LG G8X ThinQ」の高コスパ度合い,"
12月6日に、ソフトバンクが「LG G8X ThinQ」というスマホを発売しました。約6.4インチの有機ELディスプレイを搭載するハイスペックモデルなのですが、「LGデュアルスクリーン」なるものが付属していて、これを装着すると、折り畳める2画面スマホに変身するんです。2画面それぞれで異なるアプリを起動できることはもちろん、2画面を連結する「ワイドモード」でウェブを見ることもできます。【詳細画像はこちら】端末代金と通信料金を分離する施策により、スマホの端末代金は高くなる傾向にあります。LG G8X ThinQは、スペックと昨今の相場から察するに10万円くらいでもおかしくない端末ですが、ソフトバンクが発表した価格は、なんと税込5万5440円。特に縛りはなく、新規でも機種変更でも、分割払いでも一括払いでも5万5440円です。要するに、iPhone 11 Proの半額以下で買えるんです。気になりますよね？ ものすごく気になった筆者が、いち早く使ってみました。",＆GP,ソフトバンク,2019年 12月 9日
広瀬すずが“反抗期こじらせ女子”をコミカルに！「一度死んでみた」劇伴はヒャダインが担当,"
広瀬すずがコメディー映画に初挑戦する「一度死んでみた」(2020年3月20日[金]公開)の本予告映像、本ポスタービジュアルが解禁に。【写真を見る】劇伴を担当するヒャダインが、広瀬すずとおそろいの“デスポーズ”さらに、劇伴をヒャダインが担当することが明らかになり、映画の見どころなどについて語った。

■ 広瀬すず演じる七瀬の強烈キャラが炸裂！

「一度死んでみた」は、SoftBank「白戸家」シリーズなど、数多くの国民的CMを世に送り出してきたCMプランナー/クリエーティブ・ディレクターの澤本嘉光が脚本を手掛け、au「三太郎」シリーズなどの大人気CMを手掛けるCMディレクター・浜崎慎治が映画初監督を努めたオリジナルコメディー。

公開された予告映像は、七瀬(広瀬)の「野畑七瀬、慶明大学薬学部3年デス！ 嫌いなものは野畑計、私の父デス！」という、癖のあるデス口調で話しているシーンからスタート。

その後、父の計(堤真一)に「臭い～！」と嫌悪の顔で消臭スプレーを思い切り吹きかけるなど、“反抗期こじらせ女子”をコミカルに演じる。

ライブシーンでは、毛先をピンクに染め上げ、デスメタル調のロックな衣装を着て「死んでくれ～！」と父への不満を歌でシャウト。インパクトのある、七瀬の強烈キャラがさく裂する。

一方、実験で「2日だけ死んじゃう薬」を飲み、実際に「一度死んでみた」計は、ライバル会社の陰謀で本当に火葬されてしまいそうに。そこで、七瀬は火葬されるまでの2日間で、計を生き返らせようと試みる。

七瀬と計の部下・松岡(吉沢亮)が結託して計のピンチを救おうと奮闘する姿もコミカルに描かれ、普段は存在感がなさ過ぎて“ゴースト”と呼ばれている松岡が、酔っ払ってビールを片手に激変する衝撃のシーンも。

そして、映像のラストはリリー・フランキー、小澤征悦、嶋田久作、木村多江、松田翔太ら、豪華俳優陣が次から次へと間髪入れずに登場する。

また、本ポスターは雲の上で幽霊になった堤と、困り顔の吉沢につかみかかりながら、前に乗り出す広瀬。その周りで、オールスターキャストが十人十色の表情を見せている。

さらに今回、劇伴をヒャダインが担当することも解禁に。ヒャダインが映画の劇伴音楽を担当するのは、「海月姫」(2014年)に続き2作目となる。

■ ヒャダイン コメント

今回、超豪華キャストで、しかも底抜けに楽しい映画の劇伴を担当ということで、めちゃくちゃうれしかったデス！

曲作りにあたっては、主軸であるメタルロックを中心に、個性あふれるキャラクターごとに曲のジャンルも変え、各人が華やぐようにカラフルな曲を作りました。

そして何より、広瀬すずさんの歌唱！ さいっこうデス!! 魂の叫びデス！ 本職のメタラーの知り合いに直伝してもらったヘドバンや、ライブパフォーマンスもめっちゃかっこいいデス!!!

僕はもう何回もこの映画を見ましたが、何回も笑います！ 皆さんの演技が自由過ぎて、令和って感じデス!!! 観劇後、皆さんもデスデス言うこと間違いなしデス!! ぜひ見てほしい…デス!!!

■ 映画「一度死んでみた」ストーリー

父親のことが大嫌い、いまだ反抗期を引きずっている女子大学生の七瀬(広瀬すず)。売れないデスメタルバンドでボーカルをしている彼女は、ライブで「一度死んでくれ！」と父・計(堤真一)への不満をシャウトするのが日常だった。

そんなある日、計が本当に死んでしまったとの知らせが。実は計が経営する製薬会社で偶然発明された「2日だけ死んじゃう薬」を飲んだためで、計は仮死状態にあるのだった。

ところが、計を亡き者にしようとするライバル会社の陰謀で、計は本当に火葬されてしまいそうに！

大嫌いだったはずの父の絶体絶命のピンチに直面した七瀬は、存在感がなさ過ぎて“ゴースト”と呼ばれている計の部下・松岡(吉沢亮)と共に、父を救うため立ち上がることを決意する。

火葬までのタイムリミットは2日間。果たして、七瀬は無事に計を生き返らせることができるのか。（ザテレビジョン）",ザテレビジョン,ソフトバンク,2019年 12月 9日
